file,Region,Zone,Type,Year,Season,Month,Day,Hour,Latitude,Longitude,Altitude,t2m,ws,wd,tp,blh,ssr,CVD60,no2,o3,so2,co,pm10,pm2.5
coded_mehra_8_hamming_3000.txt,0.2193,0.0061,0.4909,0.0698,0.7779,0.1333,0.0752,0.0859,0.7595,0.7571,0.7533,0.2001,0.7553,0.7555,0.7663,0.7834,0.8031,0.7547,0.7731,0.768,0.778,0.7757,0.7678,0.753
coded_mehra_8_hamming_3000_simple.txt,0.2193,0.0061,0.4909,0.0698,0.7779,0.1333,0.0752,0.0859,0.7595,0.7571,0.7533,0.2001,0.7553,0.7555,0.7663,0.7834,0.8031,0.7547,0.7731,0.768,0.778,0.7757,0.7678,0.753
coded_mehra_8_mostly_3000_MI.txt,0.2239,0.0056,0.4909,0.0564,0.2606,0.0932,0.0355,0.0396,0.5601,0.2065,0.2089,0.2118,0.2063,0.256,0.2562,0.2514,0.2468,0.2093,0.2456,0.2093,0.2582,0.2576,0.2084,0.262
coded_mehra_8_mostly_3000_MI_simple.txt,0.2239,0.0056,0.4909,0.0564,0.2606,0.1333,0.0355,0.0396,0.264,0.2065,0.2089,0.2001,0.2063,0.256,0.2562,0.2514,0.2468,0.2093,0.2456,0.2093,0.2582,0.2576,0.2084,0.2155
coded_mehra_8_mostly_4500.txt,0.2193,0.0061,0.4909,0.0698,0.7633,0.0481,0.0752,0.0859,0.737,0.7369,0.7393,0.2728,0.7382,0.7434,0.7393,0.7485,0.7553,0.7466,0.7536,0.7528,0.7599,0.7563,0.7501,0.7358
coded_mehra_8_mostly_4500_simple.txt,0.2193,0.0061,0.4909,0.0698,0.3954,0.1333,0.0752,0.0859,0.352,0.3457,0.3506,0.2001,0.3485,0.3489,0.3503,0.3541,0.3514,0.3525,0.4229,0.3976,0.4375,0.4416,0.4061,0.3486
coded_mehra_9_hamming_1500_MI.txt,0.2193,0.0056,0.4909,0.0483,0.2589,0.1333,0.036,0.0327,0.2002,0.2,0.2,0.2001,0.4268,0.2001,0.2001,0.2,0.2,0.2,0.3467,0.3362,0.3375,0.3696,0.2066,0.2129
coded_mehra_9_hamming_1500_MI_simple.txt,0.2193,0.0056,0.4909,0.0483,0.2589,0.1333,0.036,0.0327,0.2002,0.2,0.2,0.2001,0.4268,0.2001,0.2001,0.2,0.2,0.2,0.3467,0.3362,0.3375,0.3696,0.2066,0.2129
uncoded_MI_mehra.txt,0.2239,0.0056,0.4909,0.0745,0.2606,0.0848,0.0651,0.0464,0.2378,0.2065,0.2089,0.208,0.2063,0.256,0.2562,0.2514,0.2468,0.2587,0.2456,0.2097,0.2582,0.2576,0.2084,0.262
